Date,Close/Last,Volume,Open,High,Low
07/24/2020,3203.9,N/A,3203.9,3203.9,3203.9
07/23/2020,3227.6,3,3266.7,3284,3266.7
07/22/2020,3265.6,N/A,3265.6,3265.6,3265.6
07/21/2020,3251.3,5,3270,3270,3267.3
07/20/2020,3213.9,N/A,3213.9,3213.9,3213.9
07/17/2020,3213.9,N/A,3213.9,3213.9,3213.9
07/16/2020,3245.2,6,3222.2,3222.2,3199.3
07/15/2020,3227.2,480,3206.1,3227.2,3198.8
07/14/2020,3183.6,N/A,3183.6,3183.6,3183.6
07/13/2020,3148.2,11,3183.7,3202,3183.7
07/10/2020,3178.4,1,3127.3,3127.3,3127.3
07/09/2020,3141.1,N/A,3141.1,3141.1,3141.1
07/08/2020,3163.4,3,3146.3,3146.3,3138
07/07/2020,3136.4,1,3146.8,3146.8,3146.8
07/05/2020,3143,N/A,3143,3143,3143
07/02/2020,3171.9,26,3099.7,3143,3099.7
07/01/2020,3079.4,3,3079.2,3080.3,3079.2
06/30/2020,3090.2,N/A,3090.2,3090.2,3090.2
06/29/2020,3047.7,2,3019.6,3019.7,3019.6
06/26/2020,3006.9,N/A,3006.9,3006.9,3006.9
06/25/2020,3040.7,34,3031.7,3040.7,3011.8
06/24/2020,3049,5,3126.8,3126.8,3106.3
06/23/2020,3118.5,2,3134.2,3134.2,3134.2
06/22/2020,3110.7,14,3079,3093.2,3079
06/19/2020,3059.4,166,3111.3,3137,3111.3
06/18/2020,3097.9,N/A,3097.9,3097.9,3097.9
06/17/2020,3107.1,4,3135.8,3135.8,3128.1
06/16/2020,3040.9,N/A,3040.9,3040.9,3040.9
06/15/2020,2988,N/A,2988,2988,2988
06/12/2020,2953.3,N/A,2953.3,2953.3,2953.3
06/11/2020,3010.3,72,3184.7,3184.7,3102.6
06/10/2020,3186,70,3211.2,3222.8,3183.2
06/09/2020,3205.4,317,3224.7,3224.7,3190.7
06/08/2020,3227.5,176,3196.2,3227.3,3188.2
06/05/2020,3186.8,133,3114.4,3187.5,3114.4
06/04/2020,3110.5,71,3113.9,3125.5,3096
06/03/2020,3117.7,43,3076.8,3118.5,3076.4
06/02/2020,3076.9,226,3051.3,3068,3036.2
06/01/2020,3054,129,3033.5,3054.3,3009.1
05/29/2020,3042,79,3035.3,3057.6,3014.7
05/28/2020,3038.1,20,3035.4,3048.8,3033.1
05/27/2020,3035.4,104,2992.9,3032.4,2991.7
05/26/2020,2994.4,76,2985.4,3016.2,2950.5
05/22/2020,2952.9,37,2941.8,2950.2,2904.4
05/21/2020,2936.9,27,2971.5,2971.5,2944.3
05/20/2020,2968.5,58,2910.8,2955.7,2910.8
05/19/2020,2918.8,37,2945.3,2964.7,2915.1
05/18/2020,2947.9,102,2854.9,2929.6,2854.9
05/15/2020,2846.4,39,2847.2,2857.6,2815.3
05/14/2020,2846.9,123,2821.9,2848.8,2780.7
05/13/2020,2813.1,47,2837.9,2874.7,2818.4
05/12/2020,2852.6,112,2920.1,2935.4,2842.9
05/11/2020,2922.8,61,2918.1,2943.3,2893.2
05/08/2020,2928.4,70,2898.4,2917.1,2896.8
05/07/2020,2880,68,2835.8,2881.9,2827
05/06/2020,2833.4,107,2862.7,2881.8,2843.7
05/05/2020,2858.3,111,2831.7,2864.5,2827.8
05/04/2020,2825.3,110,2786.6,2824.2,2775.4
05/01/2020,2821.7,93,2869.2,2877.7,2839.5
04/30/2020,2902.4,168,2954.4,2954.4,2880.1
04/29/2020,2941,92,2864.3,2957.7,2861.6
04/28/2020,2867.2,108,2865.4,2910.5,2852.2
04/27/2020,2868.9,36,2833.8,2869,2819.4
04/24/2020,2829.5,147,2777.1,2807.6,2757.3
04/23/2020,2780.8,71,2786.4,2803.4,2774.4
04/22/2020,2788.4,81,2737,2788.8,2720.2
04/21/2020,2732.1,126,2815.6,2826.6,2728.9
04/20/2020,2806.5,75,2855.7,2875,2807.4
04/17/2020,2870.1,153,2864.4,2882.8,2852.8
04/16/2020,2787.4,182,2770.9,2827.1,2751.4
04/15/2020,2775.1,122,2840.2,2840.6,2762.3
04/14/2020,2843.1,151,2762.2,2805,2753.8
04/13/2020,2759.2,121,2787,2787.2,2733.5
04/09/2020,2779.8,214,2733.3,2780.9,2703.6
04/08/2020,2734.9,259,2640.6,2736.7,2628.1
04/07/2020,2642,229,2642.3,2737.7,2630.4
04/06/2020,2644.6,127,2506,2585,2506
04/03/2020,2482.7,189,2509.4,2523.4,2476.1
04/02/2020,2516.4,141,2458.8,2520.6,2451.6
04/01/2020,2448,331,2556.7,2558.6,2448.7
03/31/2020,2569.7,96,2612.5,2634.6,2558.3
03/30/2020,2611.2,275,2467.4,2618,2463.7
03/27/2020,2524.1,476,2619.6,2630.8,2516.6
03/26/2020,2608,427,2467,2618.4,2405.3
03/25/2020,2467,296,2440.2,2492.7,2387.2
03/24/2020,2438.1,417,2246.9,2447.4,2235.5
03/23/2020,2220.4,509,2197.2,2378.3,2174.9
03/20/2020,2288.5,506,2348,2498.2,2261
03/19/2020,2389.1,543,2393.7,2452.7,2314.3
03/18/2020,2401.4,211,2479,2485.8,2383.2
03/17/2020,2485.5,251,2420.8,2489.2,2382.6
03/16/2020,2405.3,234,2603.8,2627.4,2385.3
03/13/2020,2683.9,365,2446.1,2672.2,2383.2
03/12/2020,2468.9,240,2746.6,2762.7,2601.4
03/11/2020,2740.3,393,2866.4,2866.4,2739.2
03/10/2020,2865.8,383,2717.4,2877.2,2697.6
03/09/2020,2747.7,191,2878.5,2881.3,2731.5
03/06/2020,2964.1,340,3021.4,3034.9,2917.4
03/05/2020,3015.5,317,3090,3100.3,3014.8
03/04/2020,3114.7,320,2989.9,3109.9,2977.6
03/03/2020,2997.1,551,3079.3,3098.9,2990.1
03/02/2020,3065.1,790,2905.1,3078.4,2890.7
02/28/2020,2951.1,894,2952.6,2993.7,2879.5
02/27/2020,2956.9,378,3075.4,3100.6,2945.4
02/26/2020,3110.2,306,3098.3,3101.5,3098.3
02/25/2020,3132.6,119,3221.3,3255,3135.2
02/24/2020,3226.3,210,3305.8,3305.8,3224
02/21/2020,3339.3,101,3357.6,3362.2,3354.4
02/20/2020,3369.2,5,3394.9,3394.9,3381.5
02/19/2020,3387.2,35,3378.4,3379.2,3375.6
02/18/2020,3369.3,84,3375.1,3389.3,3363
02/14/2020,3380.9,43,3378.2,3386,3373.1
02/13/2020,3377.4,64,3382,3382,3352.3
02/12/2020,3380.5,27,3360.9,3372,3359.6
02/11/2020,3357.6,53,3352,3365,3352
02/10/2020,3353,62,3321.1,3352.6,3305.8
02/07/2020,3325.5,69,3340.9,3343.1,3327
02/06/2020,3345.2,16,3343.4,3352,3343.4
02/05/2020,3335,22,3292.5,3327,3292.5
02/04/2020,3299.5,113,3239.1,3287.5,3239.1
02/03/2020,3245.6,62,3231.6,3247.4,3230.3
01/31/2020,3224,193,3288.8,3291.7,3227
01/30/2020,3289.7,34,3268.5,3293,3245.3
01/29/2020,3272.4,70,3274.8,3292.5,3274.8
01/28/2020,3278.3,61,3245,3279.9,3245
01/27/2020,3239.6,348,3260,3266.2,3237
01/24/2020,3293.5,21,3335.3,3335.3,3292.3
01/23/2020,3326,57,3317.2,3320.4,3315
01/22/2020,3319.8,12,3332.4,3334.3,3332
01/21/2020,3319.5,50,3313,3326.1,3312
01/17/2020,3324.9,49,3323,3326,3322.8
01/16/2020,3316.4,8,3299.1,3304,3298.5
01/15/2020,3293.8,24,3280.2,3287,3280.2
01/14/2020,3287.9,1,3279,3279,3279
01/13/2020,3289.7,4,3273.8,3275,3273.8
01/10/2020,3264.7,39,3282.2,3286.1,3263.9
01/09/2020,3275.9,13,3263.9,3271.7,3263.9
01/08/2020,3260.2,90,3221.7,3243.2,3183.7
01/07/2020,3235.3,36,3249.7,3249.7,3232.2
01/06/2020,3243.6,28,3217.5,3229.2,3210.3
01/03/2020,3235.4,86,3249,3249,3208.9
01/02/2020,3259,21,3243.3,3249.3,3243.1
12/31/2019,3231.1,1,3224.4,3224.4,3224.4
12/30/2019,3223.4,12,3241.9,3242.6,3237.7
12/27/2019,3237.6,7,3249.2,3253.5,3249.2
